time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,city
2020-01-01,-2.0,-1.3,-2.5,0.3,Samara
2020-01-02,-6.8,-1.4,-15.7,0.5,Samara
2020-01-03,-7.2,-1.7,-16.0,0.0,Samara
2020-01-04,-1.4,-1.1,-1.9,0.0,Samara
2020-01-05,-0.4,-0.0,-0.9,0.5,Samara
2020-01-06,-1.6,-0.2,-5.5,0.6,Samara
2020-01-07,-4.4,-2.2,-6.9,3.4,Samara
2020-01-08,-6.5,-5.2,-8.3,0.0,Samara
2020-01-09,-4.7,-3.6,-6.7,0.4,Samara
2020-01-10,-4.5,-4.2,-5.2,0.2,Samara
2020-01-11,-4.3,-3.2,-5.4,0.2,Samara
2020-01-12,-4.4,-3.7,-5.0,0.0,Samara
2020-01-13,-4.2,-3.0,-5.1,4.6,Samara
2020-01-14,-1.4,-0.2,-2.9,0.1,Samara
2020-01-15,-2.3,-1.2,-3.7,0.0,Samara
2020-01-16,-1.4,1.1,-4.4,3.8,Samara
2020-01-17,0.2,0.8,-0.2,9.3,Samara
2020-01-18,-1.0,0.3,-3.2,0.0,Samara
2020-01-19,-1.2,-0.5,-2.6,0.1,Samara
2020-01-20,-1.9,-1.3,-2.5,0.5,Samara
2020-01-21,-0.9,0.2,-2.4,0.6,Samara
2020-01-22,-0.5,1.6,-2.2,7.5,Samara
2020-01-23,-4.2,-2.4,-6.2,0.4,Samara
2020-01-24,-8.5,-6.6,-10.9,0.0,Samara
2020-01-25,-3.9,0.0,-11.1,3.6,Samara
2020-01-26,-2.1,-1.1,-4.9,6.1,Samara
2020-01-27,-4.1,0.2,-7.1,2.9,Samara
2020-01-28,-12.1,-8.0,-14.8,0.0,Samara
2020-01-29,-10.5,-8.2,-13.2,3.6,Samara
2020-01-30,-3.7,-0.7,-8.6,4.6,Samara
2020-01-31,-1.2,-0.2,-1.8,6.5,Samara
2020-02-01,-1.1,-0.1,-1.9,0.0,Samara
2020-02-02,-1.5,-0.5,-2.3,0.7,Samara
2020-02-03,0.7,1.6,-0.2,13.9,Samara
2020-02-04,0.1,1.3,-1.9,0.6,Samara
